txn_id,timestamp,amount,merchant,category,card_id,txn_type,city,currency
TXN000001,2025-02-01T08:48:51,320.0,PVR Cinemas,entertainment,XXXX4412,purchase,Bengaluru,INR
TXN000002,2025-02-01T09:46:29,2241.61,Reliance Fresh,groceries,XXXX4412,purchase,Bengaluru,INR
TXN000003,2025-02-01T10:37:27,318.39,BookMyShow,entertainment,XXXX4412,purchase,Bengaluru,INR
TXN000004,2025-02-01T14:45:41,239.0,Swiggy,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000005,2025-02-01T19:06:05,300.0,McDonald's,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000006,2025-02-02T10:38:40,1899.28,Reliance Fresh,groceries,XXXX4412,purchase,Bengaluru,INR
TXN000007,2025-02-02T10:54:14,589.98,BookMyShow,entertainment,XXXX4412,purchase,Bengaluru,INR
TXN000008,2025-02-02T16:04:13,789.0,BigBasket,groceries,XXXX4412,purchase,Bengaluru,INR
TXN000009,2025-02-02T19:10:23,546.93,PharmEasy,health,XXXX4412,purchase,Bengaluru,INR
TXN000010,2025-02-02T19:36:12,559.58,Domino's Pizza,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000011,2025-02-02T22:14:43,1639.0,Barbeque Nation,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000012,2025-02-03T08:32:56,405.23,Jio Postpaid,utilities,XXXX4412,purchase,Bengaluru,INR
TXN000013,2025-02-03T11:09:40,659.0,Paytm,other,XXXX4412,purchase,Bengaluru,INR
TXN000014,2025-02-03T14:09:23,580.0,Swiggy,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000015,2025-02-03T16:32:48,1270.0,Reliance Fresh,groceries,XXXX4412,purchase,Bengaluru,INR
TXN000016,2025-02-03T16:49:41,850.0,PhonePe,other,XXXX4412,purchase,Bengaluru,INR
TXN000017,2025-02-03T20:23:14,2210.0,Barbeque Nation,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000018,2025-02-03T21:33:16,1959.0,Barbeque Nation,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000019,2025-02-03T22:09:16,1860.0,Coursera,education,XXXX4412,purchase,Bengaluru,INR
TXN000020,2025-02-04T10:05:46,256.46,Practo,health,XXXX4412,purchase,Bengaluru,INR
TXN000021,2025-02-04T12:42:30,1452.87,IRCTC,travel,XXXX4412,purchase,Bengaluru,INR
TXN000022,2025-02-04T15:37:14,680.0,IRCTC,travel,XXXX4412,purchase,Bengaluru,INR
TXN000023,2025-02-04T19:28:57,640.0,Myntra,shopping,XXXX4412,purchase,Bengaluru,INR
TXN000024,2025-02-04T19:56:53,759.0,PhonePe,other,XXXX4412,purchase,Bengaluru,INR
TXN000025,2025-02-04T21:13:59,391.56,Paytm,other,XXXX4412,purchase,Bengaluru,INR
TXN000026,2025-02-05T20:12:06,429.0,Starbucks,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000027,2025-02-05T23:13:34,2269.0,BigBasket,groceries,XXXX4412,purchase,Bengaluru,INR
TXN000028,2025-02-06T07:43:41,975.54,Shell,fuel,XXXX4412,purchase,Bengaluru,INR
TXN000029,2025-02-06T07:44:07,650.96,Netflix,entertainment,XXXX4412,purchase,Bengaluru,INR
TXN000030,2025-02-07T08:05:59,531.13,Udemy,education,XXXX4412,purchase,Bengaluru,INR
TXN000031,2025-02-07T12:15:12,505.95,McDonald's,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000032,2025-02-07T12:28:51,189.0,McDonald's,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000033,2025-02-07T20:57:03,619.0,Tata Power,utilities,XXXX4412,purchase,Bengaluru,INR
TXN000034,2025-02-07T21:18:27,640.0,Swiggy,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000035,2025-02-08T07:13:06,117.34,Spotify Premium,entertainment,XXXX4412,purchase,Bengaluru,INR
TXN000036,2025-02-08T13:03:32,640.0,BookMyShow,entertainment,XXXX4412,purchase,Bengaluru,INR
TXN000037,2025-02-08T14:03:37,589.0,Disney+ Hotstar,entertainment,XXXX4412,purchase,Bengaluru,INR
TXN000038,2025-02-08T18:29:20,1769.0,Barbeque Nation,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000039,2025-02-08T18:59:16,330.0,Myntra,shopping,XXXX4412,purchase,Bengaluru,INR
TXN000040,2025-02-08T20:07:56,160.0,Zomato,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000041,2025-02-09T09:05:40,1202.64,Amazon,shopping,XXXX4412,purchase,Bengaluru,INR
TXN000042,2025-02-09T11:04:34,604.11,PhonePe,other,XXXX4412,purchase,Bengaluru,INR
TXN000043,2025-02-09T14:23:18,189.0,Domino's Pizza,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000044,2025-02-09T16:07:56,760.0,PVR Cinemas,entertainment,XXXX4412,purchase,Bengaluru,INR
TXN000045,2025-02-09T19:13:43,199.0,Starbucks,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000046,2025-02-09T22:00:42,492.88,Starbucks,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000047,2025-02-10T12:34:02,270.0,Flipkart,shopping,XXXX4412,purchase,Bengaluru,INR
TXN000048,2025-02-10T13:47:28,1030.0,BigBasket,groceries,XXXX4412,purchase,Bengaluru,INR
TXN000049,2025-02-11T06:07:03,1969.3,Cult.fit Membership,health,XXXX4412,purchase,Bengaluru,INR
TXN000050,2025-02-11T09:57:22,500.0,Amazon,shopping,XXXX4412,purchase,Bengaluru,INR
TXN000051,2025-02-11T13:56:26,578.24,Zomato,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000052,2025-02-11T20:39:47,470.0,Zomato,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000053,2025-02-11T20:51:42,2864.08,Barbeque Nation,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000054,2025-02-12T18:01:07,2100.0,Coursera,education,XXXX4412,purchase,Bengaluru,INR
TXN000055,2025-02-12T19:19:52,1858.59,BYJU'S,education,XXXX4412,purchase,Bengaluru,INR
TXN000056,2025-02-12T20:21:17,474.26,Practo,health,XXXX4412,purchase,Bengaluru,INR
TXN000057,2025-02-12T20:55:02,390.14,Netmeds,health,XXXX4412,purchase,Bengaluru,INR
TXN000058,2025-02-13T18:27:38,339.0,Reliance Fresh,groceries,XXXX4412,purchase,Bengaluru,INR
TXN000059,2025-02-13T18:39:20,500.0,Paytm,other,XXXX4412,purchase,Bengaluru,INR
TXN000060,2025-02-13T21:00:33,519.0,PhonePe,other,XXXX4412,purchase,Bengaluru,INR
TXN000061,2025-02-13T21:20:25,629.0,BookMyShow,entertainment,XXXX4412,purchase,Bengaluru,INR
TXN000062,2025-02-14T06:13:14,295.41,Amazon Prime,shopping,XXXX4412,purchase,Bengaluru,INR
TXN000063,2025-02-14T13:39:36,1550.0,Amazon,shopping,XXXX4412,purchase,Bengaluru,INR
TXN000064,2025-02-14T13:42:05,631.04,Ola,travel,XXXX4412,purchase,Bengaluru,INR
TXN000065,2025-02-14T18:29:28,960.0,BigBasket,groceries,XXXX4412,purchase,Bengaluru,INR
TXN000066,2025-02-15T12:29:26,200.0,Zomato,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000067,2025-02-15T12:41:44,1129.0,Practo,health,XXXX4412,purchase,Bengaluru,INR
TXN000068,2025-02-15T15:43:19,432.11,Myntra,shopping,XXXX4412,purchase,Bengaluru,INR
TXN000069,2025-02-16T22:03:35,660.0,BookMyShow,entertainment,XXXX4412,purchase,Bengaluru,INR
TXN000070,2025-02-16T22:35:38,361.92,Swiggy,food_dining,XXXX4412,purchase,Bengaluru,INR
TXN000071,2025-02-17T15:53:40,1699.0,Ajio,shopping,XXXX4412,purchase,Bengaluru,INR
TXN000072,2025-02-17T21:53:58,1464.04,ACT Fibernet,utilities,XXXX4412,purchase,Bengaluru,INR
TXN000073,2025-02-18T14:04:26,580.0,BigBasket,groceries,XXXX4412,purchase,Bengaluru,INR
TXN000074,2025-02-18T17:15:17,1009.0,PharmEasy,health,XXXX4412,purchase,Bengaluru,INR
